ms,raw
31,1483
57,1963
82,2205
107,2340
132,2421
157,2471
182,2505
207,2525
232,2539
257,2549
282,2555
307,2565
332,2569
357,2572
382,2581
407,2578
432,2567
457,2579
482,2579
507,2581
532,2583
557,2581
582,2581
607,2581
632,2582
657,2583
682,2579
707,2587
732,2581
757,2584
782,2569
807,2583
832,2584
857,2583
882,2581
907,2582
932,2584
957,2585
982,2585
1007,2582
1032,2582
1057,2583
1082,2654
1107,2583
1132,2583
1157,2585
1182,2585
1207,2585
1232,2584
1257,2584
1282,2583
1307,2584
1332,2585
1357,2585
1382,2585
1407,2583
1432,2585
1457,2579
1482,2583
1507,2584
1532,2583
1557,2711
1582,2584
1607,2585
1632,2521
1657,2585
1682,2585
1707,2585
1732,2555
1757,2585
1782,2584
1807,2585
1832,2585
1857,2587
1882,2585
1907,2584
1932,2584
1957,2587
1982,2585
2007,2585
2032,2585
2057,2503
2082,2585
2107,2583
2132,2585
2157,2585
2182,2585
2207,2585
2232,2584
2257,2585
2282,2585
2307,2585
2332,2587
2357,2584
2382,2585
2407,2589
2432,2584
2457,2587
2482,2620
2507,2587
2532,2585
2557,2585
2582,2585
2607,2584
2632,2583
2657,2585
2682,2587
2707,2586
2732,2586
2757,2585
2782,2584
2807,2587
2832,2584
2857,2587
2882,2645
2907,2586
2932,2587
2957,2586
2982,2583
3007,2585
3032,2585
3057,2587
3082,2585
3107,2586
3132,2585
3157,2586
3182,2587
3207,2587
3232,2587
3257,2587
3282,2585
3307,2585
3332,2587
3357,2586
3382,2587
3407,2586
3432,2587
3457,2587
3482,2585
3507,2587
3532,2585
3557,2583
3582,2587
3607,2584
3632,2585
3657,2586
3682,2589
3707,2587
3732,2585
3757,2587
3782,2586
3807,2587
3832,2585
3857,2587
3882,2586
3907,2586
3932,2587
3957,2585
3982,2587
4007,2590
4032,2587
4057,2587
4082,2585
4107,2587
4132,2586
4157,2586
4182,2551
4207,2590
4232,2575
4257,2590
4282,2587
4307,2588
4332,2584
4357,2587
4382,2587
4407,2587
4432,2586
4457,2587
4482,2587
4507,2587
4532,2589
4557,2587
4582,2596
4607,2587
4632,2589
4657,2587
4682,2587
4707,2587
4732,2586
4757,2587
4782,2587
4807,2587
4832,2587
4857,2587
4882,2587
4907,2587
4932,2587
4957,2584
4982,2587
5007,2588
5032,2587
5057,2585
5082,2588
5107,2584
5132,2587
5157,2586
5182,2586
5207,2587
5232,2585
5257,2586
5282,2585
5307,2585
5332,2587
5357,2587
5382,2587
5407,2587
5432,2588
5457,2587
5482,2586
5507,2587
5532,2591
5557,2585
5582,2587
5607,2585
5632,2585
5657,2588
5682,2587
5707,2587
5732,2587
5757,2590
5782,2587
5807,2586
5832,2585
5857,2586
5882,2587
5907,2587
5932,2586
5957,2587
5982,2586
6007,2588
6032,2587
6057,2589
6082,2587
6107,2585
6132,2587
6157,2581
6182,2586
6207,2586
6232,2585
6257,2587
6282,2585
6307,2587
6332,2587
6357,2587
6382,2587
6407,2587
6432,2591
6457,2587
6482,2587
6507,2587
6532,2587
6557,2586
6582,2590
6607,2579
6632,2585
6657,2587
6682,2587
6707,2575
6732,2585
6757,2586
6782,2587
6807,2837
6832,2587
6857,2585
6882,2588
6907,2587
6932,2586
6957,2587
6982,2587
7007,2588
7032,2589
7057,2586
7082,2586
7107,2585
7132,2588
7157,2587
7182,2587
7207,2520
7232,2588
7257,2585
7282,2591
7307,2588
7332,2590
7357,2589
7382,2587
7407,2587
7432,2588
7457,2587
7482,2587
7507,2588
7532,2539
7557,2587
7582,2586
7607,2586
7632,2586
7657,2588
7682,2590
7707,2588
7732,2588
7757,2587
7782,2591
7807,2585
7832,2586
7857,2586
7882,2585
7907,2590
7932,2587
7957,2585
7982,2585
8007,2586
8032,2587
8057,2587
8082,2588
8107,2583
8132,2587
8157,2587
8182,2587
8207,2587
8232,2587
8257,2587
8282,2586
8307,2587
8332,2588
8357,2589
8382,2587
8407,2651
8432,2587
8457,2589
8482,2589
8507,2587
8532,2587
8557,2589
8582,2586
8607,2587
8632,2587
8657,2588
8682,2587
8707,2591
8732,2587
8757,2587
8782,2587
8807,2587
8832,2588
8857,2587
8882,2587
8907,2587
8932,2589
8957,2586
8982,2588
9007,2587
9032,2587
9057,2588
9082,2589
9107,2587
9132,2585
9157,2586
9182,2592
9207,2590
9232,2581
9257,2660
9282,2588
9307,2587
9332,2586
