# ingest sink, старт 2026-08-23T13:30:49
elapsed_s,water_ml,event,v12a_raw,v12a_mv,v12b_raw,v12b_mv,v20a_raw,v20a_mv,v20b_raw,v20b_mv,air_t,air_h
0.0,0.0,,1012,870,1032,886,36,27,157,125,,
1.0,0.0,,1011,870,1030,886,51,39,94,74,,
2.0,0.0,,1012,868,1029,885,15,10,41,29,,
3.0,0.0,,1012,869,1032,886,15,9,42,30,,
4.0,0.0,,1010,869,1030,884,46,35,95,76,,
5.0,0.0,,1012,868,1030,885,40,30,96,76,,
6.0,0.0,,1011,868,1028,884,14,9,96,76,,
7.0,0.0,,1011,868,1032,885,39,29,97,77,,
8.0,0.0,,1012,869,1030,885,38,29,96,77,,
9.0,0.0,,1011,867,1030,885,46,34,95,75,,
10.0,0.0,,1011,868,1032,885,41,31,96,76,,
11.0,0.0,,1012,869,1031,885,39,29,96,76,,
12.0,0.0,,1013,870,1032,885,15,9,41,30,,
13.0,0.0,,1013,868,1030,884,47,35,94,75,,
14.0,0.0,,1011,871,1030,884,42,31,100,79,,
15.0,0.0,,1013,868,1029,884,50,38,94,76,,
16.0,0.0,,1011,868,1030,885,45,34,100,80,,
17.0,0.0,,1012,868,1031,883,46,35,101,80,,
18.0,0.0,,1011,869,1030,885,54,41,100,79,,
19.0,0.0,,1010,869,1030,884,42,32,50,36,,
20.0,0.0,,1011,867,1031,886,56,42,106,84,,
21.0,0.0,,1011,868,1029,886,16,10,53,39,,
22.0,0.0,,1010,869,1033,885,48,36,105,83,,
23.0,0.0,,1012,869,1032,885,19,11,53,39,,
24.0,0.0,,1011,869,1030,885,57,43,111,88,,
25.0,0.0,,1010,868,1033,885,47,35,110,87,,
26.0,0.0,,1011,870,1030,884,49,37,109,86,,
27.0,0.0,,1011,869,1030,883,26,16,112,90,,
28.0,0.0,,1013,871,1032,884,49,37,117,93,,
29.0,0.0,,1013,870,1029,886,51,39,121,96,,
30.0,0.0,,1011,868,1030,885,14,9,59,44,,
31.0,0.0,,1013,869,1030,885,14,9,58,43,,
32.0,0.0,,1012,869,1033,884,49,37,107,85,,
33.0,0.0,,1012,869,1032,884,47,35,121,97,,
34.0,0.0,,1013,869,1032,886,14,9,60,45,,
35.0,0.0,,1013,869,1033,886,48,36,117,93,,
36.0,0.0,,1013,869,1030,885,20,13,61,45,,
37.0,0.0,,1011,870,1030,887,49,36,119,94,,
38.0,0.0,,1012,869,1029,884,50,38,121,97,,
39.0,0.0,,1011,871,1031,886,49,36,118,94,,
40.0,0.0,,1013,870,1032,886,26,16,121,96,,
41.0,0.0,,1011,869,1030,886,48,36,120,95,,
42.0,0.0,,1013,870,1029,886,58,43,121,96,,
43.0,0.0,,1012,871,1029,885,58,44,119,94,,
44.0,0.0,,1013,871,1031,885,61,47,123,98,,
45.0,0.0,,1012,870,1031,883,14,9,58,43,,
46.0,0.0,,1012,870,1030,886,14,9,59,44,,
47.0,0.0,,1015,869,1030,886,15,10,59,44,,
48.0,0.0,,1013,871,1031,886,14,8,59,43,,
49.0,0.0,,1014,871,1037,887,15,9,53,39,,
50.0,0.0,,1015,870,1037,888,57,44,118,94,,
51.0,0.0,,1012,870,1029,885,52,39,128,102,,
52.0,0.0,,1012,870,1032,885,50,36,124,99,,
53.0,0.0,,1011,870,1032,886,13,8,57,42,,
54.0,0.0,,1013,870,1032,886,14,9,58,43,,
55.0,0.0,,1012,872,1033,886,13,8,59,43,,
56.0,0.0,,1013,872,1032,885,13,8,58,43,,
57.0,0.0,,1014,870,1033,886,13,8,58,43,,
58.0,0.0,,1014,870,1032,888,14,9,57,42,,
59.0,0.0,,1012,871,1033,886,13,8,56,41,,
68.4,0.0,,1012,871,1034,886,37,27,98,78,,
69.4,0.0,,1013,871,1032,888,13,8,37,27,,
70.4,0.0,,1014,871,1033,888,38,27,98,77,,
71.4,0.0,,1013,871,1033,888,13,8,37,27,,
72.4,0.0,,1014,872,1033,888,14,9,37,27,,
73.4,0.0,,1012,871,1033,887,39,28,57,44,,
74.4,0.0,,1012,870,1034,887,40,28,98,78,,
75.4,0.0,,1012,870,1031,886,39,28,99,79,,
76.4,0.0,,1013,872,1031,885,50,38,94,73,,
77.4,0.0,,1014,873,1032,885,14,9,100,79,,
78.4,0.0,,1011,870,1031,886,41,30,98,78,,
79.4,0.0,,1010,871,1032,886,39,29,97,77,,
80.4,0.0,,1014,872,1033,888,14,9,38,27,,
81.4,0.0,,1013,871,1031,883,13,8,99,79,,
82.4,0.0,,1012,870,1034,887,39,28,98,78,,
83.4,0.0,,1014,871,1030,888,38,28,96,76,,
84.4,0.0,,1012,870,1033,884,44,33,97,76,,
85.4,0.0,,1013,870,1034,887,37,27,98,78,,
86.4,0.0,,1015,873,1034,887,14,8,39,28,,
87.4,0.0,,1013,870,1034,886,36,26,97,77,,
88.4,0.0,,1013,872,1033,887,38,28,95,76,,
89.4,0.0,,1015,871,1034,886,36,26,95,75,,
90.4,0.0,,1013,870,1031,885,40,29,37,26,,
91.4,0.0,,1014,872,1033,887,41,29,97,77,,
92.4,0.0,,1013,872,1032,887,37,27,96,77,,
93.4,0.0,,1013,870,1032,886,34,25,95,76,,
94.4,0.0,,1013,872,1032,887,12,6,37,26,,
95.4,0.0,,1014,871,1033,886,11,6,35,25,,
96.4,0.0,,1013,872,1033,886,33,24,96,77,,
97.4,0.0,,1017,871,1032,887,32,23,96,77,,
98.4,0.0,,1014,872,1034,889,10,6,36,26,,
99.4,0.0,,1015,872,1035,888,33,23,99,79,,
100.4,0.0,,1014,870,1031,888,32,23,99,79,,
101.4,0.0,,1015,872,1032,886,35,25,100,80,,
102.4,0.0,,1014,871,1033,888,34,25,97,79,,
103.4,0.0,,1014,871,1033,887,40,29,93,73,,
104.4,0.0,,1016,872,1033,887,12,7,36,25,,
105.4,0.0,,1015,870,1033,885,32,22,98,79,,
106.4,0.0,,1014,871,1033,887,35,26,99,80,,
107.4,0.0,,1012,870,1033,885,32,24,41,29,,
108.4,0.0,,1012,870,1032,886,35,26,96,77,,
109.4,0.0,,1014,871,1032,887,34,24,96,77,,
110.4,0.0,,1015,871,1034,887,33,23,97,78,,
111.4,0.0,,1014,871,1031,886,13,7,98,79,,
112.4,0.0,,1013,872,1033,888,36,26,98,78,,
113.4,0.0,,1015,870,1033,885,12,7,37,26,,
114.4,0.0,,1013,870,1033,888,35,25,97,77,,
115.4,0.0,,1012,871,1032,888,44,33,99,79,,
