elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
0.0,531,167,263,82
0.1,2001,188,753,81
0.3,2083,182,779,79
0.4,2096,179,781,79
0.5,2097,178,782,79
0.6,2098,176,781,82
0.7,2099,172,782,76
0.9,2100,176,782,80
1.0,2100,176,778,78
1.1,2103,174,778,78
1.2,2107,173,780,80
1.3,2100,174,779,81
1.5,2104,173,779,81
1.6,2100,175,780,80
1.7,2097,176,779,77
1.8,2102,174,780,80
1.9,2098,171,779,75
2.1,2100,174,778,80
2.2,2097,174,778,80
2.3,2099,173,777,82
2.4,2101,173,778,82
2.5,2097,174,778,77
2.7,2097,170,777,81
2.8,2102,171,776,81
2.9,2105,168,780,81
3.0,2101,173,778,79
3.1,2101,174,776,81
3.3,2098,173,777,80
3.4,2103,174,779,80
3.5,2100,175,781,81
3.6,2100,174,781,80
3.7,2100,173,778,81
3.9,2101,174,779,80
4.0,2102,175,780,80
4.1,2093,173,777,77
4.2,2102,173,778,79
4.3,2100,173,777,80
4.5,2097,172,776,80
4.6,2102,173,776,81
4.7,2108,173,777,81
4.8,2099,173,776,81
4.9,2098,174,776,80
5.1,2096,173,777,81
5.2,2100,174,779,78
5.3,2099,173,778,81
5.4,2098,172,776,81
5.5,2102,174,776,81
5.7,2101,174,778,77
5.8,2100,173,776,77
5.9,2101,173,777,77
6.0,2102,172,777,81
6.1,2098,171,777,76
6.3,2093,174,777,80
6.4,2100,173,778,80
6.5,2094,172,779,81
6.6,2100,171,777,81
6.7,2105,172,776,81
6.9,2102,169,777,77
7.0,2101,167,776,81
7.1,2096,167,776,78
7.2,2103,166,777,81
7.3,2103,171,775,81
7.5,2101,171,775,82
7.6,2102,172,776,79
7.7,2099,172,776,82
7.8,2097,170,775,82
7.9,2093,168,777,80
8.1,2098,171,776,78
8.2,2099,172,776,79
8.3,2099,172,777,79
8.4,2101,172,776,82
8.5,2101,172,775,79
8.7,2099,172,776,79
8.8,2101,173,776,82
8.9,2101,166,776,87
9.0,2102,166,773,90
9.1,2100,167,775,87
9.3,2103,166,775,88
9.4,2098,169,775,88
9.5,2100,167,775,87
9.6,2101,166,774,90
9.7,2095,164,774,86
9.9,2102,168,775,87
10.0,2101,166,776,90
10.1,2101,167,773,87
10.2,2100,165,774,89
10.3,2099,167,775,87
10.5,2098,166,775,89
10.6,2100,166,775,86
10.7,2104,166,774,88
10.8,2098,165,773,91
10.9,2101,168,777,87
11.1,2100,167,776,89
11.2,2099,166,775,89
11.3,2101,165,778,88
11.4,2100,166,777,91
11.5,2100,163,775,89
11.7,2098,162,777,89
11.8,2101,159,775,90
11.9,2102,159,777,90
12.0,2100,157,775,90
12.1,2096,158,776,87
12.3,2101,160,776,86
12.4,2100,161,776,90
12.5,2104,162,774,87
12.6,2098,161,775,91
12.7,2107,165,776,92
12.9,2100,160,776,87
13.0,2100,160,775,89
13.1,2100,161,776,89
13.2,2100,163,778,90
13.3,2101,158,778,88
13.5,2100,159,779,88
13.6,2100,163,781,90
13.7,2101,164,777,88
13.8,2102,162,778,93
13.9,2104,164,778,91
14.1,2100,161,779,90
14.2,2100,162,778,90
14.3,2101,163,774,90
14.4,2104,161,775,93
14.5,2100,161,774,90
14.7,2102,157,774,90
14.8,2099,156,777,93
14.9,2096,160,778,90
15.0,2099,158,777,93
15.1,2098,160,777,94
15.3,2101,160,776,90
15.4,2099,159,775,90
15.5,2097,155,774,93
15.6,2097,156,776,94
15.7,2100,158,776,94
15.9,2099,162,775,91
16.0,2102,160,775,92
16.1,2102,159,776,96
16.2,2104,159,775,96
16.3,2099,160,776,93
16.5,2099,157,776,98
16.6,2101,156,776,97
16.7,2099,156,774,96
16.8,2099,158,774,97
16.9,2100,155,775,94
17.1,2100,160,774,97
17.2,2102,160,776,98
17.3,2099,154,776,97
17.4,2101,158,776,97
17.5,2091,159,777,98
17.7,2099,160,776,94
17.8,2107,159,777,94
17.9,2102,160,777,95
18.0,2098,157,779,98
18.1,2099,158,778,98
18.3,2097,159,779,95
18.4,2099,156,777,96
18.5,2100,159,778,96
18.6,2106,157,777,100
18.7,2104,157,777,96
18.9,2101,157,777,100
19.0,2101,158,779,100
19.1,2099,156,777,100
19.2,2103,155,777,98
19.3,2102,154,778,100
19.5,2088,151,778,100
19.6,2095,153,778,100
19.7,2101,155,778,100
19.8,2100,156,777,101
19.9,2105,157,778,101
20.1,2100,157,779,97
20.2,2101,155,779,100
20.3,2098,157,779,101
20.4,2098,153,779,101
20.5,2102,154,779,102
20.7,2099,153,779,102
20.8,2102,150,780,102
20.9,2104,151,780,101
21.0,2102,149,781,101
21.1,2105,152,781,103
21.3,2099,151,778,102
21.4,2099,155,779,104
21.5,2101,157,779,101
21.6,2101,156,779,102
21.7,2102,156,779,102
21.9,2101,155,781,103
22.0,2102,155,778,102
22.1,2101,156,777,103
22.2,2100,154,778,103
22.3,2101,156,780,101
22.5,2100,153,779,104
22.6,2098,153,779,104
22.7,2103,154,779,104
22.8,2101,155,778,104
22.9,2099,156,780,105
23.1,2103,156,780,104
23.2,2099,155,781,103
23.3,2100,156,782,104
23.4,2101,156,779,105
23.5,2100,157,779,104
23.7,2098,157,780,104
23.8,2099,156,780,103
23.9,2099,151,778,103
24.0,2104,153,779,103
24.1,2100,150,780,104
24.3,2103,152,778,104
24.4,2103,153,778,104
24.5,2102,151,778,103
24.6,2102,154,778,107
24.7,2101,155,776,106
24.9,2103,156,775,104
25.0,2099,156,777,104
25.1,2097,154,778,104
25.2,2097,152,776,104
25.3,2096,155,778,104
25.5,2100,155,780,103
25.6,2101,155,780,104
25.7,2111,155,779,105
25.8,2100,154,781,104
25.9,2096,155,779,104
26.1,2101,155,779,104
26.2,2100,156,779,105
26.3,2103,155,779,103
26.4,2103,154,781,103
26.5,2098,156,778,104
26.7,2097,157,777,103
26.8,2103,156,779,104
26.9,2097,156,780,100
27.0,2099,156,779,104
27.1,2101,155,778,105
27.3,2101,156,781,104
27.4,2102,156,782,104
27.5,2107,155,780,104
27.6,2102,155,778,105
27.7,2099,158,781,104
27.9,2106,156,781,104
28.0,2105,158,778,101
28.1,2099,155,778,104
28.2,2105,155,780,102
28.3,2104,156,777,104
28.5,2103,156,776,105
28.6,2098,156,777,104
28.7,2100,156,780,104
28.8,2102,155,777,104
28.9,2102,157,780,104
29.1,2101,157,780,104
29.2,2101,155,777,104
29.3,2104,157,777,104
29.4,2096,154,778,103
29.5,2101,157,778,104
29.7,2105,157,778,104
29.8,2104,158,778,100
29.9,2097,156,779,102
