elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
0.0,530,146,425,114
0.1,1973,167,1020,115
0.3,2065,154,1080,111
0.4,2079,151,1094,113
0.5,2077,153,1100,113
0.6,2082,155,1110,113
0.7,2083,155,1115,112
0.9,2085,148,1120,112
1.0,2093,150,1127,113
1.1,2088,152,1131,111
1.2,2082,153,1135,113
1.3,2092,151,1140,112
1.5,2087,154,1143,112
1.6,2089,153,1145,113
1.7,2088,155,1148,113
1.8,2086,152,1153,113
1.9,2086,152,1155,113
2.1,2087,151,1156,112
2.2,2087,153,1157,114
2.3,2086,151,1160,113
2.4,2086,151,1161,115
2.5,2092,149,1162,112
2.7,2088,153,1165,113
2.8,2087,149,1165,112
2.9,2087,152,1165,113
3.0,2092,152,1167,111
3.1,2090,152,1166,114
3.3,2087,150,1167,113
3.4,2090,152,1168,114
3.5,2090,150,1169,113
3.6,2090,152,1169,117
3.7,2089,150,1170,116
3.9,2089,153,1171,117
4.0,2090,150,1171,114
4.1,2083,152,1173,116
4.2,2084,150,1172,115
4.3,2086,152,1172,116
4.5,2087,150,1171,115
4.6,2086,152,1174,114
4.7,2089,151,1172,112
4.8,2089,151,1173,114
4.9,2087,150,1174,113
5.1,2089,154,1173,113
5.2,2086,152,1174,113
5.3,2087,152,1174,113
5.4,2091,151,1175,112
5.5,2089,153,1173,118
5.7,2089,150,1174,113
5.8,2088,154,1174,113
5.9,2089,149,1174,113
6.0,2089,151,1175,113
6.1,2090,150,1175,113
6.3,2094,153,1174,113
6.4,2087,145,1173,111
6.5,2088,148,1173,113
6.6,2090,147,1175,110
6.7,2093,147,1174,113
6.9,2086,146,1174,111
7.0,2083,151,1171,113
7.1,2089,150,1174,112
7.2,2089,151,1173,109
7.3,2085,149,1172,110
7.5,2088,152,1172,111
7.6,2089,151,1172,112
7.7,2090,152,1171,111
7.8,2089,151,1172,109
7.9,2089,151,1172,111
8.1,2091,150,1172,111
8.2,2089,152,1171,111
8.3,2090,150,1171,111
8.4,2087,150,1170,111
8.5,2091,150,1171,109
8.7,2096,153,1172,110
8.8,2088,151,1170,108
8.9,2090,153,1170,109
9.0,2091,152,1170,107
9.1,2089,154,1170,109
9.3,2090,151,1170,108
9.4,2084,150,1169,109
9.5,2092,151,1169,109
9.6,2088,153,1169,108
9.7,2090,150,1168,109
9.9,2083,152,1169,109
10.0,2086,152,1169,107
10.1,2087,153,1168,110
10.2,2087,152,1169,109
10.3,2088,153,1168,109
10.5,2088,153,1168,107
10.6,2087,154,1169,109
10.7,2089,151,1168,107
10.8,2088,152,1167,107
10.9,2085,152,1168,107
11.1,2088,149,1167,108
11.2,2086,152,1166,106
11.3,2089,154,1166,107
11.4,2089,152,1166,106
11.5,2096,154,1167,107
11.7,2094,153,1166,106
11.8,2089,154,1166,107
11.9,2093,152,1166,105
12.0,2090,154,1167,107
12.1,2087,151,1166,106
12.3,2091,154,1165,106
12.4,2090,153,1165,104
12.5,2088,156,1167,105
12.6,2084,155,1167,104
12.7,2090,155,1168,105
12.9,2085,154,1168,104
13.0,2090,157,1168,106
13.1,2092,155,1169,104
13.2,2100,156,1168,103
13.3,2086,148,1167,103
13.5,2090,154,1167,104
13.6,2090,156,1167,102
13.7,2088,153,1166,103
13.8,2090,151,1165,102
13.9,2092,152,1168,102
14.1,2088,151,1167,101
14.2,2092,158,1166,102
14.3,2089,156,1167,101
14.4,2085,158,1166,101
14.5,2090,156,1166,102
14.7,2087,158,1167,102
14.8,2090,156,1165,102
14.9,2087,159,1167,102
15.0,2090,158,1166,98
15.1,2094,157,1165,100
15.3,2088,157,1166,98
15.4,2090,160,1166,100
15.5,2085,153,1166,98
15.6,2091,153,1166,98
15.7,2090,157,1165,100
15.9,2091,160,1166,98
16.0,2087,158,1165,99
16.1,2090,154,1166,99
16.2,2085,158,1164,98
16.3,2093,158,1164,100
16.5,2091,156,1164,99
16.6,2090,157,1163,98
16.7,2090,153,1164,97
16.8,2095,154,1164,96
16.9,2089,154,1163,98
17.1,2096,158,1164,96
17.2,2091,157,1163,97
17.3,2092,160,1163,94
17.4,2086,160,1164,93
17.5,2091,156,1163,95
17.7,2092,155,1162,93
17.8,2091,159,1162,93
17.9,2090,157,1163,90
18.0,2090,161,1162,93
18.1,2087,158,1161,91
18.3,2089,160,1162,93
18.4,2093,158,1161,94
18.5,2090,161,1161,93
18.6,2091,156,1161,92
18.7,2093,157,1161,94
18.9,2091,160,1162,93
19.0,2089,163,1161,95
19.1,2090,159,1160,94
19.2,2089,157,1161,92
19.3,2092,156,1160,95
19.5,2092,163,1160,93
19.6,2098,161,1160,93
19.7,2089,163,1159,93
19.8,2090,163,1160,94
19.9,2090,163,1159,94
20.1,2087,161,1161,92
20.2,2091,163,1160,92
20.3,2085,158,1158,92
20.4,2091,159,1160,92
20.5,2088,157,1160,95
20.7,2089,159,1161,94
20.8,2090,158,1160,93
20.9,2091,163,1159,92
21.0,2093,163,1158,93
21.1,2089,163,1159,91
21.3,2097,163,1158,91
21.4,2090,165,1158,91
21.5,2090,159,1158,91
21.6,2091,160,1156,90
21.7,2088,164,1158,90
21.9,2091,164,1157,90
22.0,2085,164,1157,94
22.1,2092,167,1156,92
22.2,2082,164,1157,90
22.3,2091,159,1156,92
22.5,2090,163,1157,89
22.6,2085,166,1156,90
22.7,2090,164,1157,90
22.8,2089,164,1155,89
22.9,2092,165,1155,90
23.1,2091,167,1156,90
23.2,2095,165,1155,90
23.3,2089,163,1155,90
23.4,2093,163,1155,89
23.5,2086,162,1155,89
23.7,2085,161,1154,93
23.8,2088,166,1154,93
23.9,2091,164,1154,89
24.0,2086,168,1154,88
24.1,2090,169,1152,89
24.3,2091,167,1155,90
24.4,2091,166,1155,89
24.5,2091,169,1154,90
24.6,2089,169,1152,88
24.7,2091,169,1152,89
24.9,2092,167,1153,87
25.0,2090,169,1153,90
25.1,2090,167,1153,88
25.2,2091,169,1154,87
25.3,2091,167,1153,87
25.5,2086,167,1153,88
25.6,2086,164,1153,88
25.7,2089,169,1152,89
25.8,2090,169,1154,88
25.9,2085,164,1153,89
26.1,2088,167,1153,88
26.2,2097,169,1152,88
26.3,2087,165,1153,88
26.4,2088,164,1152,86
26.5,2090,165,1151,88
26.7,2092,165,1152,90
26.8,2084,162,1153,89
26.9,2091,165,1153,88
27.0,2098,163,1154,88
27.1,2091,163,1153,88
27.3,2089,159,1153,91
27.4,2094,163,1152,91
27.5,2091,161,1153,91
27.6,2091,167,1152,89
27.7,2091,166,1152,90
27.9,2090,164,1152,88
28.0,2091,165,1152,87
28.1,2095,168,1151,87
28.2,2086,167,1151,86
28.3,2088,168,1151,90
28.5,2092,166,1152,90
28.6,2091,168,1151,87
28.7,2089,166,1151,86
28.8,2090,168,1151,84
28.9,2097,167,1152,87
29.1,2091,170,1151,86
29.2,2094,170,1150,86
29.3,2091,171,1150,87
29.4,2092,170,1151,85
29.5,2090,171,1151,86
29.7,2100,167,1151,87
29.8,2097,170,1151,89
29.9,2091,164,1151,86
